CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
7.14E+08,Existing Customer,42,1,2,4,3,71923,1,34,3336,1753,1583,1168,27,0.525
7.88E+08,Existing Customer,55,1,3,7,2,99244,1,47,3436,2016,1420,1097,33,0.587
7.12E+08,Attrited Customer,48,1,2,3,2,64176,4,35,34516,0,34516,691,15,0
7.11E+08,Existing Customer,39,1,1,4,1,61089,1,33,5926,1251,4675,1316,28,0.211
7.10E+08,Existing Customer,44,1,4,5,3,140348,1,32,23957,2102,21855,1276,26,0.088
7.08E+08,Existing Customer,53,1,2,4,3,133631,1,44,14734,1634,13100,1289,23,0.111
7.89E+08,Existing Customer,51,1,4,6,3,80834,4,38,34516,1515,33001,1293,32,0.044
8.08E+08,Existing Customer,57,1,2,1,2,70842,1,52,6584,1817,4767,1353,35,0.276
7.89E+08,Existing Customer,44,2,2,6,3,25600,1,20,2084,1468,616,1132,28,0.704
7.11E+08,Existing Customer,49,1,2,3,2,74475,1,32,1687,1107,580,1670,17,0.656
7.18E+08,Existing Customer,50,1,2,2,2,100110,1,38,25300,1330,23970,837,15,0.053
7.16E+08,Existing Customer,51,1,4,3,3,138846,1,42,34516,1763,32753,1550,41,0.051
7.20E+08,Existing Customer,55,2,2,3,2,38839,1,42,2216,1034,1182,1540,36,0.467
7.20E+08,Existing Customer,54,1,1,3,4,64369,1,43,2910,2030,880,1256,21,0.698
8.21E+08,Existing Customer,42,1,5,6,2,114081,1,37,22913,1528,21385,1394,35,0.067
7.90E+08,Existing Customer,44,1,1,1,3,64022,1,35,24312,1932,22380,1341,24,0.079
7.13E+08,Existing Customer,53,1,2,3,3,81767,1,36,5272,1515,3757,1289,33,0.287
8.05E+08,Existing Customer,44,2,4,3,3,20095,1,36,7000,2517,4483,1112,23,0.36
7.15E+08,Existing Customer,37,2,3,6,3,27536,1,29,7038,1801,5237,2339,57,0.256
7.79E+08,Existing Customer,49,1,3,3,1,78324,1,30,2536,1823,713,1468,23,0.719
7.11E+08,Existing Customer,47,1,2,3,2,85129,1,38,28904,1899,27005,1334,35,0.066
7.16E+08,Existing Customer,47,1,3,3,2,78914,1,37,8567,1695,6872,1457,41,0.198
7.15E+08,Existing Customer,44,1,1,7,4,126405,1,36,34516,1533,32983,1603,29,0.044
7.11E+08,Attrited Customer,55,2,4,7,2,57270,1,45,2158,0,2158,615,12,0
7.55E+08,Existing Customer,59,2,1,3,2,47225,1,52,10133,1417,8716,1068,20,0.14
7.95E+08,Existing Customer,53,1,1,3,1,114345,1,35,34516,1219,33297,1590,27,0.035
7.16E+08,Existing Customer,52,1,2,3,2,74189,1,47,3085,1910,1175,1531,35,0.619
7.15E+08,Existing Customer,53,1,2,4,3,127080,1,35,19040,2056,16984,1212,31,0.108
7.12E+08,Existing Customer,43,2,3,6,3,30436,1,35,4026,0,4026,1237,32,0
7.20E+08,Existing Customer,44,1,3,4,3,68311,1,31,12756,837,11919,1413,14,0.066
7.79E+08,Existing Customer,57,1,2,7,2,127172,1,45,5266,0,5266,1516,29,0
7.18E+08,Existing Customer,51,2,2,4,3,20000,1,36,9930,0,9930,1276,21,0
7.14E+08,Existing Customer,49,1,4,4,3,95955,1,38,31302,1953,29349,1564,35,0.062
7.14E+08,Existing Customer,45,1,1,3,3,49531,1,36,6576,0,6576,1465,34,0
7.89E+08,Existing Customer,53,1,0,3,3,115719,1,42,2664,2037,627,1286,29,0.765
7.16E+08,Existing Customer,45,2,3,7,2,36052,1,28,2535,2440,95,1312,20,0.963
7.20E+08,Existing Customer,64,1,1,3,2,25016,1,52,1709,895,814,1673,32,0.524
7.73E+08,Existing Customer,45,1,3,3,2,42043,1,35,3454,1200,2254,1313,30,0.347
7.20E+08,Existing Customer,53,1,3,2,2,51644,1,35,3789,1706,2083,1609,42,0.45
8.02E+08,Existing Customer,56,1,3,1,2,131778,1,50,9689,2250,7439,1158,19,0.232
7.12E+08,Attrited Customer,47,1,2,7,2,92214,1,37,5449,1628,3821,836,18,0.299
7.15E+08,Existing Customer,49,2,3,1,3,36094,1,43,23032,1960,21072,1289,22,0.085
7.14E+08,Existing Customer,41,2,3,7,2,53202,4,34,34516,2053,32463,1487,26,0.059
7.79E+08,Existing Customer,53,1,3,3,2,139736,1,34,2940,1264,1676,1259,33,0.43
7.21E+08,Existing Customer,44,2,2,3,3,23487,1,32,3031,1879,1152,1298,15,0.62
7.14E+08,Existing Customer,44,1,3,4,4,77631,1,25,1862,0,1862,1226,34,0
7.17E+08,Existing Customer,43,2,4,5,2,26306,1,33,8358,926,7432,1566,37,0.111
7.80E+08,Existing Customer,53,1,2,5,3,123536,1,36,34516,931,33585,1022,21,0.027
7.18E+08,Existing Customer,44,1,1,6,2,67519,1,36,14450,2440,12010,1235,30,0.169
8.08E+08,Existing Customer,62,2,1,7,2,36459,1,56,1438.3,0,1438.3,1951,44,0
7.08E+08,Existing Customer,54,1,4,7,1,145762,1,36,33791,1960,31831,1047,31,0.058
7.11E+08,Existing Customer,57,1,4,3,2,68310,1,39,8466,1886,6580,1342,32,0.223
7.08E+08,Existing Customer,42,1,3,7,2,67578,1,36,15088,865,14223,1107,21,0.057
8.00E+08,Existing Customer,42,1,4,4,1,78410,1,36,3263,1674,1589,1251,35,0.513
7.19E+08,Existing Customer,54,2,0,6,2,26865,1,36,1494,706,788,1305,24,0.473
7.12E+08,Existing Customer,48,1,3,3,3,100186,1,35,13551,1294,12257,1388,37,0.095
7.15E+08,Existing Customer,49,1,1,3,3,99535,1,36,18886,895,17991,1235,18,0.047
8.27E+08,Existing Customer,52,1,3,4,4,102096,1,48,11976,1273,10703,2089,36,0.106
7.72E+08,Existing Customer,50,1,3,4,3,107141,1,39,9964,1559,8405,1626,25,0.156
7.21E+08,Existing Customer,49,1,1,2,2,62756,1,36,24159,1196,22963,1111,24,0.05
7.15E+08,Existing Customer,53,2,2,4,2,22019,1,44,5362,1901,3461,1553,38,0.355
7.18E+08,Existing Customer,50,1,2,3,3,143868,1,36,34516,1023,33493,1064,13,0.03
7.20E+08,Existing Customer,55,2,1,2,2,38361,1,36,3174,1951,1223,1243,29,0.615
7.15E+08,Existing Customer,53,1,1,4,2,104393,1,47,12262,1836,10426,1659,38,0.15
7.85E+08,Existing Customer,47,2,3,4,3,53358,1,41,3788,1540,2248,1594,47,0.407
7.71E+08,Existing Customer,55,1,2,1,3,141874,4,42,34516,1527,32989,1268,42,0.044
7.11E+08,Existing Customer,47,1,3,3,3,79564,1,36,2926,0,2926,1304,24,0
7.84E+08,Existing Customer,58,1,4,3,3,142349,1,52,32090,0,32090,1368,30,0
7.20E+08,Attrited Customer,53,1,2,3,2,114450,1,41,11669,2227,9442,720,23,0.191
7.18E+08,Existing Customer,52,1,2,4,3,40770,1,45,13532,1300,12232,1521,29,0.096
7.11E+08,Existing Customer,50,2,1,6,4,23610,4,36,11888,2090,9798,1137,30,0.176
7.15E+08,Existing Customer,42,2,1,3,2,32999,1,36,2393,1985,408,978,16,0.83
8.22E+08,Existing Customer,43,1,4,7,2,50754,1,39,6111,2517,3594,1221,16,0.412
7.14E+08,Existing Customer,57,1,4,3,2,95509,1,46,19270,1662,17608,1565,28,0.086
7.13E+08,Existing Customer,52,1,1,3,2,98586,1,43,3710,2517,1193,1578,34,0.678
7.11E+08,Existing Customer,47,1,2,2,3,28831,1,37,3235,797,2438,1493,32,0.246
7.08E+08,Existing Customer,44,2,3,3,3,56768,1,38,11749,788,10961,1178,27,0.067
7.19E+08,Existing Customer,53,1,2,4,1,60295,1,36,7753,2100,5653,991,26,0.271
7.18E+08,Existing Customer,45,1,4,1,1,71478,1,40,10408,1186,9222,2560,42,0.114
7.11E+08,Existing Customer,63,2,1,1,2,23925,1,36,3967,1568,2399,1657,29,0.395
7.16E+08,Existing Customer,39,2,2,5,3,36394,1,27,6205,2517,3688,1204,19,0.406
7.89E+08,Attrited Customer,48,2,5,4,2,25456,1,38,8025,0,8025,673,18,0
7.90E+08,Existing Customer,51,1,1,7,3,127748,1,42,9036,2327,6709,1131,18,0.258
7.10E+08,Existing Customer,54,1,4,3,2,94441,1,34,14926,2517,12409,1576,25,0.169
7.19E+08,Existing Customer,59,2,1,3,3,30481,1,36,6335,1128,5207,1217,20,0.178
7.68E+08,Attrited Customer,59,1,1,1,3,65188,1,53,14979,0,14979,530,10,0
7.13E+08,Attrited Customer,48,2,4,6,2,27623,1,38,2732,0,2732,739,16,0
7.16E+08,Existing Customer,41,2,2,3,3,36112,1,32,2250,2117,133,1617,31,0.941
8.19E+08,Existing Customer,55,1,2,3,2,123720,1,50,10916,1536,9380,1592,34,0.141
7.72E+08,Existing Customer,47,2,4,3,2,22558,1,36,5349,1228,4121,1343,30,0.23
7.12E+08,Existing Customer,41,1,2,4,2,86983,1,24,9366,1104,8262,1303,39,0.118
7.11E+08,Existing Customer,40,1,3,4,3,93368,1,28,21617,0,21617,1351,22,0
7.13E+08,Existing Customer,68,1,1,3,2,55250,1,56,13860,1652,12208,1910,32,0.119
7.12E+08,Existing Customer,50,2,1,3,3,47796,4,31,18386,0,18386,1298,22,0
7.74E+08,Existing Customer,47,1,4,6,3,71287,1,41,2405,1540,865,1087,29,0.64
7.95E+08,Existing Customer,53,2,1,1,2,30960,1,47,2154,930,1224,1439,26,0.432
7.14E+08,Existing Customer,42,2,5,7,2,41234,1,36,2038,0,2038,1238,28,0
7.14E+08,Existing Customer,48,2,4,4,3,48008,1,38,8135,0,8135,1716,29,0
7.12E+08,Existing Customer,49,1,1,2,2,146758,1,38,9364,618,8746,1099,27,0.066
7.19E+08,Existing Customer,44,2,2,6,2,49682,4,35,32643,0,32643,1058,24,0
7.19E+08,Existing Customer,43,2,4,3,1,33548,1,34,3195,1954,1241,1285,29,0.612
7.20E+08,Existing Customer,56,1,0,4,2,99051,1,43,2852,1024,1828,1651,28,0.359
7.14E+08,Existing Customer,59,2,1,1,3,53570,1,36,4224,1305,2919,1152,31,0.309
7.13E+08,Existing Customer,46,1,1,6,2,72269,1,36,20459,2071,18388,1767,38,0.101
7.15E+08,Existing Customer,47,2,4,7,1,24571,1,41,3482,2114,1368,1039,24,0.607
7.72E+08,Existing Customer,50,2,4,6,2,56872,1,40,3065,1570,1495,1130,28,0.512
7.11E+08,Existing Customer,51,2,3,6,2,31956,1,43,2185,1761,424,1645,30,0.806
7.14E+08,Existing Customer,47,2,3,6,2,23263,1,36,1611,746,865,1413,29,0.463
7.16E+08,Existing Customer,58,2,4,6,2,31420,1,47,2822,2173,649,1218,23,0.77
7.14E+08,Attrited Customer,46,1,5,3,3,94225,1,33,32975,2517,30458,597,17,0.076
7.10E+08,Existing Customer,53,1,3,4,2,71068,1,47,1438.3,0,1438.3,2184,53,0
7.16E+08,Existing Customer,45,2,4,6,1,24854,1,36,15875,1719,14156,1592,37,0.108
7.14E+08,Existing Customer,52,2,1,4,2,31848,1,45,6703,893,5810,1388,28,0.133
7.09E+08,Attrited Customer,53,1,2,7,2,85269,1,36,3212,0,3212,757,20,0
7.13E+08,Existing Customer,50,1,2,4,2,104883,4,45,34516,1260,33256,1504,34,0.037
8.20E+08,Existing Customer,41,2,3,4,2,44913,1,36,9797,1434,8363,1503,34,0.146
7.15E+08,Existing Customer,45,2,5,3,1,43732,1,36,10400,1777,8623,1105,28,0.171
7.16E+08,Existing Customer,53,1,3,6,2,94710,1,42,26792,1836,24956,2398,47,0.069
7.17E+08,Existing Customer,67,2,1,3,2,32658,1,56,3006,2517,489,1661,32,0.837
7.13E+08,Existing Customer,57,2,2,6,3,53874,4,36,19482,1072,18410,1421,22,0.055
7.11E+08,Existing Customer,59,2,1,6,2,59263,1,36,3356,985,2371,999,28,0.294
7.80E+08,Existing Customer,45,1,2,6,2,55496,1,34,5771,2248,3523,1387,18,0.39
7.15E+08,Existing Customer,51,1,3,3,2,106008,1,36,11106,2107,8999,1243,24,0.19
8.16E+08,Existing Customer,59,2,1,6,2,22516,1,54,2890,2001,889,1860,36,0.692
7.19E+08,Existing Customer,53,1,1,3,2,62397,1,45,3380,1701,1679,1502,25,0.503
7.10E+08,Existing Customer,47,1,3,3,2,69509,1,36,21331,1251,20080,1460,50,0.059
7.21E+08,Existing Customer,49,2,3,6,3,24300,1,38,12860,0,12860,1348,27,0
7.80E+08,Existing Customer,49,1,3,5,3,118504,1,33,6278,462,5816,1087,33,0.074
8.13E+08,Existing Customer,60,2,0,1,3,38679,1,55,1438.3,738,700.3,1226,33,0.513
7.11E+08,Existing Customer,50,2,2,4,2,22070,1,36,9355,1626,7729,1230,28,0.174
7.80E+08,Existing Customer,41,2,2,5,2,55756,1,31,20758,0,20758,1555,32,0
7.80E+08,Existing Customer,57,1,1,3,2,114922,1,47,14612,1976,12636,1827,24,0.135
7.18E+08,Existing Customer,43,1,4,3,4,100864,1,27,27259,0,27259,1376,35,0
7.14E+08,Existing Customer,57,2,3,3,2,29472,1,47,6347,1594,4753,1771,37,0.251
7.80E+08,Existing Customer,54,1,3,2,2,140412,1,41,21592,1676,19916,1873,52,0.078
7.16E+08,Existing Customer,51,2,5,5,2,24750,1,44,3449,1598,1851,1679,42,0.463
7.20E+08,Existing Customer,47,2,3,4,2,21488,1,34,6028,799,5229,1002,22,0.133
7.16E+08,Existing Customer,41,1,0,4,4,145412,1,36,18214,1998,16216,1344,21,0.11
7.12E+08,Existing Customer,53,1,3,6,2,107346,1,43,16393,1423,14970,1461,42,0.087
7.09E+08,Attrited Customer,68,1,0,4,2,30475,1,52,1438.3,900,538.3,760,21,0.626
7.18E+08,Existing Customer,59,1,1,1,2,78716,1,36,7871,1687,6184,1428,22,0.214
7.21E+08,Existing Customer,48,1,4,7,2,94830,1,36,5288,866,4422,1777,42,0.164
7.72E+08,Existing Customer,44,1,5,3,2,62551,1,32,11376,2006,9370,1302,27,0.176
7.48E+08,Existing Customer,48,1,3,1,2,111286,1,41,12302,1632,10670,1483,41,0.133
7.71E+08,Existing Customer,47,1,4,3,2,74619,4,33,34516,1679,32837,1060,27,0.049
7.79E+08,Existing Customer,47,1,2,3,2,70536,4,32,34516,1468,33048,1330,32,0.043
7.11E+08,Existing Customer,43,2,1,4,1,24269,4,35,10514,1580,8934,1229,27,0.15
7.20E+08,Attrited Customer,55,2,2,3,2,31495,1,43,1438.3,0,1438.3,886,27,0
7.12E+08,Attrited Customer,59,1,2,5,2,71879,1,46,1438.3,0,1438.3,844,24,0
8.09E+08,Existing Customer,63,1,1,3,2,51800,1,56,2619,1779,840,1450,37,0.679
8.21E+08,Existing Customer,58,1,2,1,2,123333,1,53,24407,2395,22012,2311,48,0.098
7.16E+08,Existing Customer,53,2,2,4,2,34861,1,36,2377,1649,728,1378,26,0.694
7.11E+08,Existing Customer,59,1,0,7,4,105954,4,40,34516,1359,33157,1033,26,0.039
8.06E+08,Existing Customer,52,1,3,3,2,140178,1,47,11086,2207,8879,1523,40,0.199
7.10E+08,Existing Customer,48,1,3,4,3,65633,1,36,11432,2517,8915,1374,37,0.22
7.16E+08,Existing Customer,43,1,4,4,2,53937,1,36,13258,1721,11537,1080,21,0.13
7.14E+08,Existing Customer,48,1,2,1,3,20474,1,36,2571,1955,616,1234,24,0.76
7.19E+08,Existing Customer,43,2,4,3,3,28287,1,31,5781,1168,4613,1600,32,0.202
7.71E+08,Existing Customer,44,1,4,7,2,67254,1,30,7872,2509,5363,1155,32,0.319
7.95E+08,Existing Customer,41,1,3,4,2,99624,1,35,34516,1202,33314,1353,33,0.035
8.03E+08,Existing Customer,44,2,3,6,1,20501,4,38,11127,1835,9292,1546,25,0.165
7.58E+08,Existing Customer,50,1,2,7,3,45344,1,43,1857,1603,254,1590,43,0.863
7.15E+08,Existing Customer,60,2,1,6,2,38570,1,36,1913,1272,641,1448,22,0.665
7.78E+08,Existing Customer,44,1,4,3,3,90434,1,24,3839,2295,1544,1271,24,0.598
7.14E+08,Existing Customer,48,2,3,3,1,58625,1,39,2115,1141,974,1223,20,0.539
7.20E+08,Existing Customer,44,2,2,3,1,28456,1,27,1438.3,679,759.3,1117,29,0.472
7.13E+08,Existing Customer,41,1,2,4,3,117331,1,28,27756,1789,25967,994,24,0.064
7.69E+08,Existing Customer,45,1,3,1,3,62490,1,32,1438.3,0,1438.3,1468,26,0
7.11E+08,Existing Customer,47,2,2,6,1,30793,4,34,13878,2222,11656,1658,38,0.16
7.89E+08,Existing Customer,51,2,2,3,2,33216,1,36,3106,1304,1802,1368,38,0.42
7.58E+08,Existing Customer,51,1,2,3,2,136169,1,44,34516,1666,32850,1218,18,0.048
7.72E+08,Attrited Customer,60,2,1,6,2,44293,1,50,1438.3,1025,413.3,702,12,0.713
7.09E+08,Existing Customer,57,1,2,7,2,118450,1,46,18871,1740,17131,1516,21,0.092
7.18E+08,Existing Customer,41,1,5,3,3,138600,1,29,5207,1748,3459,1310,26,0.336
7.19E+08,Existing Customer,44,1,3,5,1,83094,1,36,17965,1644,16321,1767,50,0.092
7.69E+08,Existing Customer,43,1,1,1,3,76910,1,37,2733,1819,914,933,25,0.666
7.90E+08,Existing Customer,55,1,2,1,2,69255,1,48,8863,1301,7562,1512,27,0.147
7.21E+08,Attrited Customer,52,1,1,6,2,114206,1,36,1857,1833,24,829,17,0.987
7.88E+08,Existing Customer,44,1,3,3,4,101237,1,33,34516,0,34516,1120,27,0
7.10E+08,Existing Customer,41,1,2,6,2,42690,1,30,11107,1222,9885,1506,33,0.11
7.90E+08,Existing Customer,44,1,4,7,3,102339,1,34,21573,1585,19988,1384,36,0.073
7.10E+08,Attrited Customer,53,2,2,7,2,24429,1,33,2859,2517,342,817,30,0.88
7.11E+08,Existing Customer,39,1,2,4,3,94093,1,36,5269,1475,3794,2094,25,0.28
8.22E+08,Attrited Customer,49,1,5,1,2,49479,1,45,1438.3,0,1438.3,815,21,0
7.09E+08,Attrited Customer,45,2,2,1,2,38382,1,36,3387,0,3387,510,24,0
7.15E+08,Existing Customer,54,1,2,3,2,86983,1,46,1982,1289,693,1377,49,0.65
7.94E+08,Existing Customer,49,1,3,6,3,96878,1,43,4645,1650,2995,1193,33,0.355
7.14E+08,Existing Customer,46,2,3,2,3,30321,1,36,2189,1666,523,1287,36,0.761
7.12E+08,Attrited Customer,46,1,4,4,2,125676,1,30,2442,0,2442,701,19,0
7.10E+08,Existing Customer,47,1,3,3,2,67123,1,38,21304,1532,19772,1770,25,0.072
7.21E+08,Existing Customer,44,1,2,2,3,79910,1,36,7577,2480,5097,1409,35,0.327
7.10E+08,Existing Customer,50,1,3,5,3,120844,1,31,3234,1486,1748,1354,28,0.459
7.16E+08,Existing Customer,73,1,0,4,2,59340,1,36,4469,1125,3344,1765,34,0.252
7.20E+08,Existing Customer,56,1,3,7,4,45228,1,46,2910,709,2201,1192,27,0.244
7.72E+08,Attrited Customer,59,1,0,4,3,52757,1,48,3616,1054,2562,687,17,0.291
7.87E+08,Existing Customer,70,1,0,4,2,26304,1,56,3252,1495,1757,1227,15,0.46
7.09E+08,Existing Customer,55,2,2,4,2,29935,1,36,2358,1152,1206,1737,26,0.489
7.15E+08,Existing Customer,43,1,4,7,3,65475,1,36,22322,953,21369,1348,34,0.043
7.99E+08,Existing Customer,45,1,1,6,3,138965,1,39,3133,1510,1623,1435,38,0.482
7.14E+08,Existing Customer,45,2,2,6,3,57056,1,35,3540,849,2691,1321,28,0.24
7.80E+08,Existing Customer,40,1,1,3,2,42229,1,23,6990,1378,5612,1479,29,0.197
7.89E+08,Existing Customer,36,1,2,1,4,87704,1,22,34516,1652,32864,1283,39,0.048
7.79E+08,Attrited Customer,59,2,0,5,2,41100,1,40,1438.3,0,1438.3,689,23,0
7.11E+08,Existing Customer,43,1,4,7,2,78270,1,35,24396,1171,23225,965,17,0.048
7.79E+08,Existing Customer,46,2,1,7,2,30035,1,36,2474,2143,331,1541,40,0.866
7.89E+08,Existing Customer,41,1,2,6,2,43955,1,32,5214,795,4419,1258,23,0.152
8.10E+08,Existing Customer,51,2,2,3,2,35083,1,46,5207,1650,3557,1339,20,0.317
7.18E+08,Existing Customer,51,2,3,7,4,20255,1,25,9512,1082,8430,1007,22,0.114
7.09E+08,Existing Customer,43,2,4,3,1,39159,1,23,3187,2430,757,1387,33,0.762
7.72E+08,Attrited Customer,64,2,0,4,2,44908,1,53,3353,0,3353,960,18,0
7.20E+08,Existing Customer,54,1,5,3,2,71498,1,38,2290,1434,856,1119,18,0.626
8.07E+08,Existing Customer,48,1,3,7,3,56314,1,43,5279,1115,4164,1642,41,0.211
7.18E+08,Existing Customer,40,1,2,6,1,78538,1,29,23603,0,23603,1382,31,0
7.21E+08,Existing Customer,57,1,0,6,2,43392,1,45,2601,0,2601,1232,32,0
7.15E+08,Existing Customer,45,1,4,3,3,102951,1,40,6363,1029,5334,1542,16,0.162
7.15E+08,Existing Customer,41,1,3,4,3,95283,1,36,8029,1576,6453,1094,32,0.196
7.21E+08,Existing Customer,42,2,4,6,2,25213,1,31,2410,1769,641,1217,30,0.734
7.19E+08,Attrited Customer,45,1,2,3,3,66185,1,36,3401,0,3401,744,18,0
7.12E+08,Existing Customer,42,2,4,6,2,20744,1,23,2260,1007,1253,1614,33,0.446
7.16E+08,Existing Customer,47,1,4,6,1,114963,1,30,17682,2481,15201,1747,31,0.14
7.73E+08,Existing Customer,48,2,4,4,2,45050,1,42,4206,1100,3106,1144,22,0.262
7.99E+08,Existing Customer,43,1,1,3,3,88382,4,37,34516,1440,33076,1575,34,0.042
7.19E+08,Existing Customer,41,1,4,4,4,119948,1,36,23018,2168,20850,1463,24,0.094
7.16E+08,Existing Customer,54,2,1,6,2,56842,1,44,5556,1711,3845,1706,21,0.308
